name,birth,incoming_links,outgoing_links,page,latitude,longitude
Tadeusz Kotarbiński,1886-1981,Stanisław Leśniewski:Kazimierz Twardowski:,pl:Kazimierz Pasenkiewicz:Henryk Greniewski:,/wiki/Tadeusz_Kotarbi%C5%84ski,N 52° 13' 47'',E 21° 0' 42''
Charles Dunoyer,1786-1862,,"Claude Henri de Rouvroy, Comte de Saint-Simon:",/wiki/Charles_Dunoyer,N 44° 55' 6'',E 1° 43' 55''
Adurbad-e Mahrspandan,309-409,,Ibn Miskawayh:,/wiki/Adurbad-i_Mahraspand,N 26° 0' 0'',E 60° 0' 0''
Daniel Dennett,1942-2042,Charles Darwin:Ludwig Wittgenstein:Wilfrid Sellars:W. V. O. Quine:Richard Dawkins:Gilbert Ryle:David Hume:,Sam Harris:Douglas Hofstadter:Geoffrey Miller:Richard Dawkins:Keith Frankish:Peter Carruthers:,/wiki/Daniel_Dennett,N 42° 21' 30'',W 71° 3' 35''
Lucien Goldmann,1913-1970,Max Adler:Jean Piaget:Karl Marx:György Lukács:,Julia Kristeva:,/wiki/Lucien_Goldmann,N 44° 25' 56'',E 26° 6' 22''
Renan,1823-1892,,Friedrich Nietzsche:,/wiki/Ernest_Renan,N 48° 47' 4'',W 3° 13' 55''
Ibn Arabi,1164-1240,Ibn Masarra:Ibn al-Arif:Ibn Barrajan:Ibn Qasi:Hadith:Qur'an:al-Tamimi:Abu Madyan:,Jami:Yahya Efendi:Shah Waliullah:Abd al-Ghani:Sidi Bou Said:'Iraqi:al-Fanārī:Ibn Ajiba:Shabestari:Ahmed Mohammed al-Maqqari:Ni'matullah:Valsan:Nurbakhsh:Naquib al-Attas:al-Sha'rani:Ismail Hakki Bursevi:Schuon:al-Suyuti:Nasr:Qayṣarī:Fairuzabadi:Nursî:Hamzah Fansuri:Amuli:al-Shushtari:Guénon:al-Jīlī:Qunawi:Abdelkader:Mulla Sadra:Hamadani:Yusuf an-Nabhani:Ibn al-Farid:al-Alawi:Bitlisi:Corbin:Mahmoud:,/wiki/Ibn_Arabi,N 37° 59' 13'',W 1° 7' 48''
Maurice Merleau-Ponty,1908-1961,Marcel:Brunschvicg:Uexküll:Malebranche:Chardin:Driesch:Schelling:Husserl:Köhler:Proust:Kojève:Kant:Descartes:Tinbergen:Fink:Lacan:Bergson:Mounier:Saussure:Whitehead:Darwin:Heraclitus:Koffka:Sartre:Beauvoir:Bachelard:Freud:Plotinus:Schilder:Coghill:Nietzsche:Hegel:Lévi-Strauss:Marx:Klein:Gesell:Scheler:Heidegger:Weber:Piaget:,Varela:Zahavi:Diprose:Harman:Lefort:Young:Ricoeur:Schillebeeckx:Lawlor:Simondon:Abram:Crowther:Gallagher:Giorgi:McClamrock:Bourdieu:Vesely:Hillman:Dreyfus:Henry:El-Bizri:Irigaray:Lacan:Butler:Polanyi:Virilio:Thảo:Thompson:Danto:Sartre:Ihde:Foucault:Manha:Guenther:Deleuze:Edie:Ahmed:Johnson:Kompridis:Clark:Barbaras:Castoriadis:Laplanche:,/wiki/Maurice_Merleau-Ponty,N 45° 56' 34'',W 0° 58' 3''
L. Susan Stebbing,1885-1943,,Max Black:,/wiki/Susan_Stebbing,N 51° 30' 30'',W 0° 7' 32''
Ibn Sabin,1217-1268,Ibn Masarra:Ibn Barrajan:Avempace:Ibn Qasi:'Ilm al-Huruf:Hadith:Averroes:Ibn Tufail:al-Hallaj:al-Farabi:Qur'an:Avicenna:Brethren of Purity:,Ramon Llull:al-Kashani al-Fargani:Afif al-Din Sulayman al Tilimsani:al-Shushtari:Badr al-Din Hasan Ibn Hud:,/wiki/Ibn_Sabin,N 37° 59' 13'',W 1° 7' 48''
