name,birth,incoming_links,outgoing_links,page,latitude,longitude
Arthur Schopenhauer, (1788–1860),Aristotle:Plato:Berkeley:Locke:Krause:Schulze:Theravada:Hinduism (Upanishads):Goethe:German mysticism:Spinoza:Hume:Kant:Descartes:,Anjos:Solovyov:Weininger:Kraus:Hartmann:Ryle:Schlick:Zola:Assis:Hesse:Hardy:Mainländer:Schrödinger:Spengler:Vaihinger:Mahler:Rank:Volkelt:Cioran:Fet:Rilke:Zapffe:Huysmans:Campbell:Santayana:Horkheimer:Schoenberg:Wagner:Proust:Dilthey:Bergson:Einstein:Michelstaedter:Jung:Reve:Brahms:Freud:Wittgenstein:Tolstoy:Gray:Bahnsen:Maupassant:Nietzsche:Brouwer:Ludovici:Beckett:Mann:Majorana:Shaw:Borges:Ligotti:,/wiki/Arthur_Schopenhauer,FILL,FILL
Imam Ali,,,Mulla Sadra:,/wiki/Ali,FILL,FILL
Dreben,,,John Rawls:,/wiki/Burton_Dreben,FILL,FILL
Schilder,,,Maurice Merleau-Ponty:,/wiki/Paul_Ferdinand_Schilder,FILL,FILL
Crates of Athens,,,Arcesilaus:,/wiki/Crates_of_Athens,FILL,FILL
Abendroth,,,Jürgen Habermas:,/wiki/Wolfgang_Abendroth,FILL,FILL
Sotion,,,Seneca the Younger:,/wiki/Sotion_(Pythagorean),FILL,FILL
Alois Riehl,,,Heinrich Rickert:,/wiki/Alois_Riehl,FILL,FILL
Justus Buchler, (1914–1991),Peirce:,Beth J. Singer:Stephen David Ross:Robert S. Corrington:Kathleen A. Wallace:Armen Marsoobian:Victorino Tejera:Christopher Phillips:,/wiki/Justus_Buchler,FILL,FILL
J. L. Mackie, (1917–1981),David Hume:John Anderson:,Colin MacLeod:Michael Martin:Richard Joyce:,/wiki/J._L._Mackie,FILL,FILL
Jean-François Lyotard, (1924–1998),Nietzsche:Lacan:Durkheim:Austin:Marx:Parsons:Montaigne:Klossowski:Deleuze and Guattari:Freud:Wittgenstein:Kant:Heidegger:,Alain Badiou:Roland Barthes:Margret Grebowicz:Mark Fisher:Richard Rorty:,/wiki/Jean-Fran%C3%A7ois_Lyotard,FILL,FILL
Al-Shafi'i,,,Fakhr al-Din al-Razi:,/wiki/Al-Shafi%27i,FILL,FILL
Hartmann,,,Carl Jung:,/wiki/Eduard_von_Hartmann,FILL,FILL
Paul Hensel,,,Hans Reichenbach:,/wiki/Paul_Hensel,FILL,FILL
Michael Bratman,,,Allan Gibbard:,/wiki/Michael_Bratman,FILL,FILL
Felix Ravaisson-Mollien, (1813–1900),Aristotle:Victor Cousin:Descartes:Schelling:Leibniz:Maine de Biran:Pascal:,Pierre Hadot:Louis Lavelle:Paul Ricœur:Martin Heidegger:Dominique Janicaud:Henri Bergson:François Laruelle:Maurice Merleau-Ponty:,/wiki/Felix_Ravaisson-Mollien,FILL,FILL
Charles Renouvier,,,Leon Brunschvicg:,/wiki/Charles_Renouvier,FILL,FILL
Thomas More, (1478–1535),Augustine of Hippo:Aristotle:Plato:Amerigo Vespucci:John Fisher:Lucian:Socrates:Thomas Aquinas:Dante Alighieri:Erasmus:Giovanni Pico della Mirandola:Cicero:,William Shakespeare:John Henry Newman:,/wiki/Thomas_More,FILL,FILL
Otto von Guericke,,,Robert Boyle:,/wiki/Otto_von_Guericke,FILL,FILL
Pāṇini,,,Ferdinand de Saussure:,/wiki/P%C4%81%E1%B9%87ini,FILL,FILL
Louis Lavelle, (1883–1951),Maine de Biran:,Nikolai Berdiaev:Alfredo Bosi:Pierre Hadot:Paul Ricœur:A. D. Sertillanges:Olavo de Carvalho:Renaud Barbaras:Gabriel Marcel:Jean Guitton:Walter J. Ong:,/wiki/Louis_Lavelle,FILL,FILL
Simondon,,,Gilles Deleuze:,/wiki/Gilbert_Simondon,FILL,FILL
Karl Popper, (1902–1994),Socrates:Hume:Frege:Fries:Mill:Bolzano:Aristotle:Vienna Circle:Campbell:Husserl:Kant:Descartes:Einstein:Selz:Russell:Kierkegaard:Burke:Peirce:Hayek:Wächtershäuser:Schopenhauer:Tarski:,Eccles:Feyerabend:Penrose:Munz:Gombrich:Deutsch:Hayek:Levinson:Kuhn:Bartley:Gillies:Soros:Lakatos:Shearmur:Jarvie:Gellner:Redhead:Medawar:Magee:Friedman:Lorenz:Miller:Albert:Schmidt:,/wiki/Karl_Popper,FILL,FILL
Étienne Bonnot de Condillac, (1715–1780),Locke:,Bello:Helvétius:Cousin:Lavoisier:Maine de Biran:Rousseau:,/wiki/%C3%89tienne_Bonnot_de_Condillac,FILL,FILL
André Leroi-Gourhan,,,Cornelius Castoriadis:,/wiki/Andr%C3%A9_Leroi-Gourhan,FILL,FILL
Samuel Richardson,,,Denis Diderot:,/wiki/Samuel_Richardson,FILL,FILL
Meister Eckhart, (1260–1327/8),Proclus:Pseudo-Dionysius:Johannes Scottus Eriugena:Thomas Aquinas:Augustine of Hippo:,D. T. Suzuki:Huldrych Zwingli:Nicholas of Cusa:Gustav Landauer:Jacques Derrida:Eckhart Tolle:Martin Heidegger:Martin Luther:Carl Gustav Jung:John Tauler:Matthew Fox:Julius Evola:Henry VIII:Erasmus:John Calvin:Henry Suso:,/wiki/Meister_Eckhart,FILL,FILL
Turgot,,,Marquis de Condorcet:,/wiki/Anne_Robert_Jacques_Turgot,FILL,FILL
Gotthard Günther,,,Edgar Morin:,/wiki/Gotthard_G%C3%BCnther,FILL,FILL
Lucilio Vanini, (1585–1619),Simone Porzio:Pietro Pomponazzi:Julius Caesar Scaliger:Paolo Sarpi:Gerolamo Cardano:,Charles Blount:,/wiki/Lucilio_Vanini,FILL,FILL
David Hartley (philosopher), (1705–1757),Isaac Newton:John Locke:Thomas Reid:,James Mill:Joseph Priestley:William Wordsworth:William James:,/wiki/David_Hartley_(philosopher),FILL,FILL
Richard Sylvan, (1935–1996),Alexius Meinong:,Graham Priest:,/wiki/Richard_Sylvan,FILL,FILL
Latin Christianity,,,John of Damascus:,/wiki/Latin_Church,FILL,FILL
Alexius Meinong, (1853–1920),David Hume:Franz Brentano:,Terence Parsons:Edward N. Zalta:William J. Rapaport:Roderick Chisholm:Panayot Butchvarov:Ernst Mally:Richard Hönigswald:Bertrand Russell:Héctor-Neri Castañeda:George Stout:Richard Routley:Graham Priest:Dale Jacquette:,/wiki/Alexius_Meinong,FILL,FILL
Posidonius, (c. 135 – 51 BC),Chrysippus:Panaetius:Aristotle:Plato:,Jason of Nysa:Cleomedes:Plutarch:Strabo:Seneca:Cicero:Livy:Diodorus Siculus:,/wiki/Posidonius,FILL,FILL
Muhammad Abduh, (1849–1905),Abu al-Mānsūr al-Matūrīdī:Ibn Sina:Jamal ad-Din al-Afghani:Abu Hamīd al-Ghāzāli:Shihāb al-Din Sührawardį:Ibn 'Arabi:,Mohammed al-Ghazali:Mahmud Shaltut:Hassan al-Banna:Muhammad al-Tahir ibn Ashur:Sayyid Qutb:Mustafa al-Maraghi:Rashid Rida:Mahmoud Taleghani:Yusuf al-Qaradawi:Abul Kalam Azad:Muhammad Asad:,/wiki/Muhammad_Abduh,FILL,FILL
F. C. von Savigny,,,Rudolf von Jhering:,/wiki/Friedrich_Carl_von_Savigny,FILL,FILL
Rogers Albritton,,,Stanley Cavell:,/wiki/Rogers_Albritton,FILL,FILL
Hannah Arendt, (1906–1975),Aristotle:Montesquieu:Walter Benjamin:Karl Marx:Heinrich Blücher:Rosa Luxemburg:Karl Jaspers:Socrates:Goethe:Saint Augustine:Kant:Heidegger:,Giorgio Agamben:Elisabeth Young-Bruehl:Seyla Benhabib:Mario Kopić:Jacques Rancière:Emerita Quito:Claude Lefort:Julia Kristeva:,/wiki/Hannah_Arendt,FILL,FILL
Bourget,,,Friedrich Nietzsche:,/wiki/Paul_Bourget,FILL,FILL
Jean Renoir,,,Stanley Cavell:,/wiki/Jean_Renoir,FILL,FILL
Albumasar,,,Roger Bacon:,/wiki/Abu_Ma%27shar,FILL,FILL
John Austin (legal philosophy), (1790–1859),Jeremy Bentham:,Joseph Raz:H. L. A. Hart:,/wiki/John_Austin_(legal_philosophy),FILL,FILL
Abu Yaqub Yusuf,,,Ibn Tufail:,/wiki/Abu_Yaqub_Yusuf,FILL,FILL
Founding Fathers,,,Leo Strauss:,/wiki/Founding_Fathers_of_the_United_States,FILL,FILL
Thomas Abbt,,,Johann Gottfried Herder:,/wiki/Thomas_Abbt,FILL,FILL
John Rawls, (1921–2002),Locke:Hobbes:Rousseau:Sidgwick:Meade:Mill:Aristotle:Berlin:Hart:Kant:Thoreau:Pareto:Darwin:Freud:King Jr.:Wittgenstein:Dreben:Nietzsche:Marx:Shklar:Malcolm:Constant:Weber:,Honneth:Raz:G.A. Cohen:Fleurbaey:Kymlicka:Harsanyi:Wolin:Sandel:Beitz:Anderson:Nino:Young:Appiah:Ricoeur:Otsuka:Brooks:Barry:Estlund:Scanlon:September Group:Wolff:Korsgaard:Taylor:Scarry:Walzer:Stern:Binmore:Shelby:Forst:O'Neill:Freeman:Foisneau:Neiman:Shapiro:Nussbaum:Davidson:Card:Cavell:Pogge:Krugman:West:Van Parijs:Nozick:Benhabib:Sen:Dworkin:Guttmann:Okin:Habermas:Cohen:Phelps:Rorty:Nagel:Fraser:,/wiki/John_Rawls,FILL,FILL
Georges Bataille, (1897–1962),Alexandre Kojève:Émile Durkheim:Lev Shestov:Karl Marx:Sigmund Freud:Marcel Mauss:Maria de Naglowska:René Guénon:Friedrich Nietzsche:G. W. F. Hegel:Marquis de Sade:,Giorgio Agamben:Michel Leiris:Jacques Derrida:Maurice Blanchot:Guy Debord:Michel Onfray:Michel Foucault:Roland Barthes:Jacques Lacan:Nick Land:Jean Baudrillard:Julia Kristeva:,/wiki/Georges_Bataille,FILL,FILL
G. E. Moore, (1873–1958),John McTaggart:Henry Sidgwick:Thomas Reid:Bertrand Russell:George Stout:Gottlob Frege:,W. D. Ross:Ludwig Wittgenstein:Bertrand Russell:,/wiki/G._E._Moore,FILL,FILL
Jean-Jacques Burlamaqui,,,Emerich de Vattel:,/wiki/Jean-Jacques_Burlamaqui,FILL,FILL
H. L. A. Hart, (1907–1992),Friedrich Waismann:Max Weber:Ludwig Wittgenstein:Jeremy Bentham:Hans Kelsen:J. L. Austin:John Austin:,Leslie Green:Neil MacCormick:Laurence Houlgate:Joel Feinberg:Paul Kelly:Norman P. Barry:John Rawls:Tony Honoré:John Gardner:,/wiki/H._L._A._Hart,FILL,FILL
J. J. C. Smart, (1920–2012),Gilbert Ryle:Henry Sidgwick:,David Lewis:D. M. Armstrong:,/wiki/J._J._C._Smart,FILL,FILL
John R. Commons,,,Eric Voegelin:,/wiki/John_R._Commons,FILL,FILL
Algirdas Julien Greimas,,,Bruno Latour:,/wiki/Algirdas_Julien_Greimas,FILL,FILL
Cheng Yi (philosopher),) (1033–1107),Mencius:Confucius:Zhou Dunyi:,Zhu Xi:,/wiki/Cheng_Yi_(philosopher),FILL,FILL
Islamic philosophy,,,Adelard of Bath:,/wiki/Islamic_philosophy,FILL,FILL
Speusippus, (410–339 BC),Pythagoreanism:Plato:,Xenocrates:,/wiki/Speusippus,FILL,FILL
William David Ross, (1877–1971),H. A. Prichard:Aristotle:Immanuel Kant:G. E. Moore:,Robert Audi:Tom Beauchamp:Bernard Gert:Tara Smith:,/wiki/William_David_Ross,FILL,FILL
Syed Mir Hassan,,,Muhammad Iqbal:,/wiki/Syed_Mir_Hassan,FILL,FILL
L. E. J. Brouwer,,,Michael Dummett:,/wiki/L._E._J._Brouwer,FILL,FILL
Damaris Cudworth Masham, (1659–1708),Aristotle:Nicholas of Cusa:Ralph Cudworth:Plato:The Bible:Plotinus:Augustine of Hippo:,John Locke:Immanuel Kant:David Hume:Denis Diderot:,/wiki/Damaris_Cudworth_Masham,FILL,FILL
Arthur Danto, (1924–2013),Arthur Schopenhauer:Georg Wilhelm Friedrich Hegel:Andy Warhol:Ludwig Wittgenstein:Friedrich Nietzsche:Maurice Merleau-Ponty:Jean-Paul Sartre:Nelson Goodman:,Noël Carroll:David Carrier:George Dickie:,/wiki/Arthur_Danto,FILL,FILL
Étienne Gilson, (1884–1978),Brunschvicg:Aristotle:Aquinas:Comte:Maritain:Bonaventure:Scotus:Dante:Augustine:,Norman Geisler:Thomas Merton:Richard McKeon:Dorothy Day:John F. X. Knasas:Paul Weiss:Vatican II:Henry Corbin:Jacques Maritain:,/wiki/%C3%89tienne_Gilson,FILL,FILL
Karl Höchberg,,,Eduard Bernstein:,/wiki/Karl_H%C3%B6chberg,FILL,FILL
Gershom Scholem, (1897–1982),Rosenzweig:Buber:Strauss:Cohen:Ahad Ha'am:Benjamin:Arendt:Kafka:Frege:,Bloom:Chabon:Strauss:Steiner:Idel:Derrida:Benjamin:Arendt:Agamben:Uffenheimer:Eco:Borges:,/wiki/Gershom_Scholem,FILL,FILL
Diotima,,,Plato:,/wiki/Diotima_of_Mantinea,FILL,FILL
Jean Baudrillard, (1929–2007) ,Alfred Jarry:Guy Debord:Marshall McLuhan:Michel Foucault:Henri Lefebvre:Ferdinand de Saussure:Karl Marx:Soren Kierkegaard:Jorge Luis Borges:Roland Barthes:Marcel Mauss:Georges Bataille:Friedrich Nietzsche:Thorstein Veblen:,Slavoj Žižek:Cody Wilson:Gerald Vizenor:Mario Perniola:The Wachowskis:Gilles Lipovetsky:Nick Land:Peter Halley:Byung-Chul Han:Sophie Calle:,/wiki/Jean_Baudrillard,FILL,FILL
Jacques Maritain, (1882–1973),Aristotle:John of St. Thomas:Charles Baudelaire:Charles Maurras:Étienne Gilson:Thomas Aquinas:,Mortimer J. Adler:John Haddox:Ivan Illich:Yves Simon:Yves Congar:John F. X. Knasas:Jean Daujat:Emmanuel Mounier:,/wiki/Jacques_Maritain,FILL,FILL
Paolo Sarpi,,,Thomas Hobbes:,/wiki/Paolo_Sarpi,FILL,FILL
Gilbert Harman, (born 1938),Willard Van Orman Quine:Noam Chomsky:,Stephen Stich:Joshua Knobe:,/wiki/Gilbert_Harman,FILL,FILL
Abu Madyan,,,Ibn Arabi:,/wiki/Abu_Madyan,FILL,FILL
Ernst H. Kantorowicz,,,Marcel Gauchet:,/wiki/Ernst_Kantorowicz,FILL,FILL
Ibn Miskawayh, (940–1030),al-Kindi:Adurbad-e Mahrspandan:,Mulla Sadra:Nasir al-Din Tusi:,/wiki/Ibn_Miskawayh,FILL,FILL
Jan Patočka, (1907–1977),Fink:Hegel:Nietzsche:Plato:Weischedel:Heraclitus:Husserl:Socrates:Heidegger:,Havel:Charter 77:Prague Spring:Kohák:Czech philosophy:,/wiki/Jan_Pato%C4%8Dka,FILL,FILL
Saul Kripke, (born 1940),Dummett:Lewis:Turing:Curry:Marcus:Russell:Wittgenstein:Quine:Frege:Tarski:,Devitt:Weinstein:Chalmers:Burge:Field:Burgess:Yablo:Salmon:Kaplan:Boghossian:Soames:Putnam:Shoemaker:Evans:,/wiki/Saul_Kripke,FILL,FILL
Wilhelm Windelband, (1848–1915),Kuno Fischer:Immanuel Kant:Georg Wilhelm Friedrich Hegel:Hermann Lotze:Johann Friedrich Herbart:,Max Weber:Edmund Husserl:Ernst Troeltsch:Albert Schweitzer:Heinrich Rickert:,/wiki/Wilhelm_Windelband,FILL,FILL
Jean-Paul Sartre, (1905–1980),Wahl:Levinas:Nizan:Merleau-Ponty:Rousseau:Céline:Husserl:Proust:Kojève:Flaubert:Bergson:Darwin:Stekel:Bachelard:Freud:Kierkegaard:Hegel:Nietzsche:Marx:Lefebvre:Heidegger:de Beauvoir:,Debord:Merleau-Ponty:Guevara:van Fraassen:Gorz:Bourdieu:Fanon:Laing:Badiou:Lukács:Camus:Aron:Lacan:Butler:Deleuze:Jeanson:de Beauvoir:Goffman:Rancière:Pinter:Leibowitz:,/wiki/Jean-Paul_Sartre,FILL,FILL
Wilfred Cantwell Smith,,,John Hick:,/wiki/Wilfred_Cantwell_Smith,FILL,FILL
Saint Jerome,,,Thomas Cajetan:,/wiki/Jerome,FILL,FILL
de Gérando,,,Ralph Waldo Emerson:,"/wiki/Joseph_Marie,_baron_de_G%C3%A9rando",FILL,FILL
Alfred Wilhelm Volkmann,,,Hermann Lotze:,/wiki/Alfred_Wilhelm_Volkmann,FILL,FILL
Eduard Von Hartmann, (1842–1906),Arthur Schopenhauer:Friedrich Wilhelm Joseph Schelling:Carl Gustav Carus:Georg Wilhelm Friedrich Hegel:Max Stirner:,Arthur Drews:Hans Vaihinger:Sigmund Freud:Carl Jung:Johannes Rehmke:Rudolf Steiner:,/wiki/Eduard_Von_Hartmann,FILL,FILL
Mulla Sadra, (1571–1640),Sheykh Baha'i:Ibn Arabi:Shahab al-Din Suhrawardi:Mir Damad:Imam Ali:Bahāʾ al-dīn al-ʿĀmilī:Avicenna:,Abul A'la Maududi:Gholamhossein Ebrahimi Dinani:Ruhollah Khomeini:Muhammad Husayn Tabatabaei:Hossein Nasr:Hadi Sabzavari:Morteza Motahhari:,/wiki/Mulla_Sadra,FILL,FILL
Lao Zi,) (4th century BC),,Daoism:Zen:Zhuang Zhou:Neotaoists:Chinese Buddhism:Martin Heidegger:East Asian philosophies:Carl Jung:Lie Yukou:Niels Bohr:Alan Watts:,/wiki/Lao_Zi,FILL,FILL
Hilary of Poitiers,,,Augustine of Hippo:,/wiki/Hilary_of_Poitiers,FILL,FILL
Huch,,,Ludwig Klages:,/wiki/Friedrich_Huch,FILL,FILL
Theophrastus, (372–287 BC),Aristotle:Plato:,Peripatetic school:Alexander of Aphrodisias:Strato of Lampsacus:,/wiki/Theophrastus,FILL,FILL
Robert Filmer, (1588–1653),Hobbes:Aristotle:Milton:Grotius:,Tyrrell:Moldbug:Sidney:Locke:,/wiki/Robert_Filmer,FILL,FILL
Karl Christian Friedrich Krause, (1781–1832),Immanuel Kant:Friedrich W. Schelling:Plato:Johann Gottlieb Fichte:G. W. F. Hegel:Baruch Spinoza:,Julián Sanz del Rio:Hipólito Yrigoyen:Arthur Schopenhauer:Francisco Giner de los Ríos:,/wiki/Karl_Christian_Friedrich_Krause,FILL,FILL
Gemistus Pletho, (c. 1355 – c. 1452),Plotinus:Plato:Demetrios Kydones:,John Argyropoulos:Hermonymus of Sparta:Nicholas of Cusa:Marsilio Ficino:Cosimo de' Medici:Bessarion:,/wiki/Gemistus_Pletho,FILL,FILL
Nicholas Onufrievich Lossky, (1870–1965),Hegel:Wilhelm Windelband:Pavel Florensky:Wilhelm Wundt:Origen:Vladimir Solovyov:Plotinus:,Nicolai Hartmann:Vladimir Lossky:,/wiki/Nicholas_Onufrievich_Lossky,FILL,FILL
Cornelius Castoriadis, (1922–1997),Martin Heidegger:Piera Aulagnier:György Lukács:G. L. Boggs:Jean-Jacques Rousseau:Maurice Merleau-Ponty:Susan Isaacs:Aristotle:Jacques Derrida:Max Weber:J. G. Fichte:Hannah Arendt:Joan Robinson:Leon Trotsky:Serge Latouche:Gaston Bachelard:Edmund Husserl:Jacques Ellul:Paul Ricœur:Karl Marx:Giambattista Vico:Francisco Varela:C. L. R. James:Jean Laplanche:Melanie Klein:Sigmund Freud:Rosa Luxemburg:Jean-Bertrand Pontalis:René Poirier:André Leroi-Gourhan:,Nicole Loraux:Harald Wolf:Zygmunt Bauman:Pierre Vidal-Naquet:Graham Ward:Nikolas Kompridis:Shimshon Bichler:François Roustang:Jonathan Nitzan:Marcel Gauchet:Raphaël Gély:Guy Debord:Jacques Le Goff:Lorraine Code:Maurice Brinton:Elias Petropoulos:Johann Pál Arnason:Frieder Otto Wolf:Edgar Morin:Takis Fotopoulos:Sophie Klimis:René Lourau:Sudipta Kaviraj:Daniel Cohn-Bendit:Robin Hahnel:Serge Latouche:Mathieu Potte-Bonneville:Georges Lapassade:Hans Joas:Vincent Descombes:Vincent de Gaulejac:Myriam Revault d'Allonnes:Anthony Giddens:Andrew Arato:Claude Lefort:Jean Baudrillard:Laurent Van Eynde:Georges Duby:Francisco Varela:Gabriel Rockhill:John B. Thompson:Jean-Claude Michéa:Yorgos Oikonomou:Hans G. Furth:E. P. Thompson:Danilo Martuccelli:Richard Rorty:,/wiki/Cornelius_Castoriadis,FILL,FILL
Norwood Russell Hanson, (1922–1967),Ludwig Wittgenstein:,Thomas Kuhn:,/wiki/Norwood_Russell_Hanson,FILL,FILL
'Ilm al-Huruf,,,Ibn Sabin:,/wiki/%27Ilm_al-huruf,FILL,FILL
Monaldo Leopardi,,,Giacomo Leopardi:,/wiki/Monaldo_Leopardi,FILL,FILL
Michel de Montaigne, (1533–1592),Horace:Diogenes Laertius:Plato:Lucretius:Ovid:Heraclitus:Étienne de La Boétie:Plutarch:Terence:Virgil:Seneca:Socrates:Sextus Empiricus:Augustine:Epicurus:Cicero:,Charles Darwin:Albert Hirschman:José Saramago:Voltaire:Eric Hoffer:Blaise Pascal:Francis Bacon:Virginia Woolf:Jean-Jacques Rousseau:William Shakespeare:William Hazlitt:Isaac Asimov:Michel Foucault:Jean Paul Sartre:Pierre Charron:Fulton Sheen:Ralph Waldo Emerson:David Hume:Gore Vidal:Montesquieu:Michel Onfray:Karl Marx:John Henry Newman:Stefan Zweig:Jean-François Lyotard:Étienne de La Boétie:René Descartes:Sigmund Freud:Albert Camus:Friedrich Nietzsche:Alexander Pushkin:Edward Gibbon:,/wiki/Michel_de_Montaigne,FILL,FILL
Sylvain Lazarus,,,Alain Badiou:,/wiki/Sylvain_Lazarus,FILL,FILL
Curt John Ducasse,,,Roderick Chisholm:,/wiki/Curt_John_Ducasse,FILL,FILL
Toni Morrison,,,Cornel West:,/wiki/Toni_Morrison,FILL,FILL
Abu al-Mānsūr al-Matūrīdī,,,Muhammad Abduh:,/wiki/Abu_Mansur_al-Maturidi,FILL,FILL
F. H. Bradley, (1846–1924),Immanuel Kant:Hermann Lotze:Johann Gottlieb Fichte:G. W. F. Hegel:F. W. J. Schelling:,James Ward:C. A. Campbell:T. S. Eliot:Alfred North Whitehead:Bernard Bosanquet:,/wiki/F._H._Bradley,FILL,FILL
Franz Rosenzweig, (1886–1929),Kierkegaard:Hegel:Rosenstock-Huessy:Buber:Schelling:Cohen:,Buber:Levinas:Glatzer:Fackenheim:Santner:Derrida:Benjamin:Leo Strauss:Irad Kimhi:,/wiki/Franz_Rosenzweig,FILL,FILL
Adam Müller,,,Othmar Spann:,/wiki/Adam_M%C3%BCller,FILL,FILL
Tawney,,,Leo Strauss:,/wiki/R._H._Tawney,FILL,FILL
Ernst Friedrich Apelt,,,Leonard Nelson:,/wiki/Ernst_Friedrich_Apelt,FILL,FILL
Mozart,,,Søren Kierkegaard:,/wiki/Wolfgang_Amadeus_Mozart,FILL,FILL
Klemens von Metternich,,,John Henry Newman:,/wiki/Klemens_von_Metternich,FILL,FILL
Adam Marsh,,,Roger Bacon:,/wiki/Adam_Marsh,FILL,FILL
Nausiphanes,,,Epicurus:,/wiki/Nausiphanes,FILL,FILL
Semën Liudvigovich Frank, (1877–1950),Nietzsche:Hegel:Solovyov:Nicolaus Cusanus:Dostoyevsky:Plotinus:Kant:Nikolai Berdyaev:,Nikolai Berdyaev:,/wiki/Sem%C3%ABn_Liudvigovich_Frank,FILL,FILL
Robert Brenner,,,Gáspár Miklós Tamás:,/wiki/Robert_Brenner,FILL,FILL
