source,target
1,777
1,431
1,1220
1,934
13,1
260,1
330,1
1067,1
1162,1
769,1
83,2
47,3
310,4
708,5
955,6
466,7
300,8
10,602
11,574
11,941
847,11
541,11
957,11
719,12
840,13
599,14
16,1262
16,671
21,16
570,16
188,16
302,16
310,16
132,17
18,205
18,777
18,211
18,457
18,172
18,156
18,1214
18,885
18,309
1246,18
1279,20
21,671
570,21
347,21
901,22
23,172
23,118
23,631
23,260
23,1045
23,397
671,24
92,25
1182,26
27,755
27,633
27,156
27,205
710,27
1252,27
188,27
1214,27
401,28
30,321
30,69
31,141
31,338
465,31
297,31
32,34
663,33
34,602
34,996
750,34
236,34
180,34
35,1228
35,777
449,35
309,35
143,35
36,100
36,123
513,37
217,38
39,1093
39,207
39,420
39,826
39,895
39,172
39,1220
839,39
713,39
286,40
217,41
915,42
43,150
1274,43
51,43
355,44
482,45
594,46
47,447
47,3
47,220
152,47
48,399
48,734
48,420
48,450
48,234
48,578
48,1117
48,286
48,868
1252,48
264,48
898,48
168,48
541,48
461,48
67,48
49,266
49,338
49,180
49,1001
532,49
180,49
817,50
51,532
51,150
51,366
204,51
47,51
52,634
52,266
389,53
55,978
55,1210
55,981
383,55
918,56
57,187
57,777
377,57
58,272
58,49
491,59
369,60
61,710
61,448
61,777
61,158
61,205
141,61
272,61
602,61
1182,61
62,1
62,1174
62,1021
62,532
62,286
62,310
62,77
62,1175
63,1236
751,63
1084,63
68,63
1177,64
65,134
65,118
777,66
67,1157
67,898
67,405
67,168
67,579
67,1279
67,420
67,1100
67,541
67,234
67,48
67,286
67,251
467,67
68,63
68,156
632,68
945,69
226,70
503,71
73,620
83,73
74,1203
74,777
74,409
74,172
75,904
75,118
76,222
76,272
76,1174
76,576
76,358
1022,76
577,76
300,76
77,912
77,857
77,221
77,1203
647,77
294,77
944,77
856,77
642,79
1095,80
576,81
82,1
82,1174
82,536
146,82
450,82
840,82
396,82
83,503
83,2
83,1153
83,888
501,84
188,84
840,84
205,85
473,86
87,777
569,87
89,272
89,777
89,1282
89,1243
1,89
90,158
90,777
90,1121
710,90
203,90
91,1203
91,76
91,845
91,158
1201,91
92,188
92,1140
92,910
92,494
92,310
92,506
92,1252
92,39
92,1102
92,858
92,703
92,1022
92,570
92,420
92,1036
92,154
92,741
92,446
92,450
92,25
898,92
858,92
713,92
67,92
957,92
93,532
796,94
505,95
96,718
96,777
96,129
96,409
96,449
96,864
96,900
96,172
96,650
96,1055
96,309
635,96
1124,96
277,96
494,96
168,96
1095,96
602,96
1093,96
420,96
1246,96
11,96
989,96
450,96
286,96
847,97
750,98
36,100
101,272
101,576
101,1282
340,101
102,1203
482,102
636,103
482,104
1216,105
350,106
1246,107
915,108
1055,109
110,1203
110,158
110,227
227,110
112,419
632,113
243,114
17,115
349,115
297,115
116,672
117,988
117,717
117,841
631,117
65,118
119,1143
119,272
119,689
288,119
1225,119
644,119
205,120
121,1243
121,703
122,145
36,123
124,777
124,1156
124,1220
124,158
1220,124
1203,124
1163,125
243,126
127,351
127,1054
127,626
650,127
881,128
129,777
129,341
129,172
129,1055
770,129
1,129
420,129
900,129
450,129
901,129
286,129
1243,129
309,129
210,130
131,1252
131,168
131,1012
131,420
131,1234
131,664
131,450
131,480
131,461
131,807
131,286
131,310
131,880
132,1
132,272
132,96
132,989
132,17
132,1124
703,132
21,132
563,132
901,133
65,134
135,780
135,1054
135,1265
351,135
650,135
217,136
137,884
137,615
137,1187
137,786
137,345
138,888
138,739
138,205
262,138
1236,138
156,138
310,139
172,140
635,141
1246,142
454,143
144,272
144,188
144,102
144,482
144,1243
635,145
494,145
146,1
146,272
146,908
146,286
366,146
147,158
147,777
166,147
1191,147
674,147
840,148
938,149
150,223
150,1093
150,275
150,183
150,141
150,602
150,1055
266,150
168,150
806,150
1099,150
51,150
639,151
482,152
153,272
153,350
153,1111
153,896
153,527
153,420
153,194
529,153
301,153
898,153
810,153
1254,153
475,153
92,153
207,153
77,153
92,154
1210,155
156,768
156,1266
156,777
156,1172
156,1239
156,172
156,309
156,674
156,855
156,888
156,373
156,205
157,272
157,602
297,157
146,157
396,157
286,157
158,777
158,409
158,1253
158,1152
158,324
755,158
90,158
888,158
302,158
167,158
1,158
674,158
1236,158
159,1197
719,160
161,1136
161,551
163,1286
163,272
163,188
163,331
163,156
163,205
589,164
482,165
888,166
167,777
167,474
167,674
167,374
710,167
1174,167
168,325
168,1203
168,1081
168,944
131,168
839,168
1229,168
901,168
1120,169
477,171
172,66
172,359
172,140
777,172
393,172
1160,173
881,174
175,49
175,340
175,180
175,141
1111,178
524,179
180,118
180,192
173,180
841,180
379,180
631,180
931,180
1241,180
717,180
23,180
75,180
785,180
809,180
1179,180
532,180
1160,180
181,1203
181,521
181,691
919,182
183,411
183,359
183,1265
150,183
286,183
777,183
1200,184
824,185
186,141
186,61
1270,186
956,186
1152,187
188,661
188,13
188,411
188,974
188,777
188,409
188,772
188,1203
188,502
373,189
190,293
190,1093
190,457
190,96
190,989
190,18
190,832
190,410
190,309
190,602
190,1214
190,860
190,335
190,156
806,190
884,190
272,190
838,190
1246,190
275,190
918,192
193,650
145,193
194,272
1200,194
153,194
420,196
466,198
1078,199
503,200
1084,201
202,987
272,202
562,202
203,90
204,806
205,676
205,387
205,849
205,539
205,85
205,172
205,754
205,120
205,432
205,715
205,864
205,900
205,950
205,309
205,290
205,777
205,466
205,158
205,718
205,375
205,502
621,206
207,1043
207,781
207,1198
207,473
207,298
207,647
207,1052
1052,207
208,262
1203,208
1220,208
264,209
210,272
210,1192
210,350
210,971
210,429
210,420
210,450
210,130
210,230
210,286
18,211
212,597
355,215
216,1203
217,287
217,476
217,41
217,136
217,1075
217,665
217,38
217,609
609,217
785,217
1179,217
313,218
219,301
219,350
219,1246
219,420
219,532
219,286
219,156
219,205
47,220
77,221
222,272
76,222
1001,222
150,223
536,224
226,70
226,549
226,1175
227,1203
227,406
227,734
227,658
227,1268
658,227
229,563
229,420
229,1174
1252,229
168,229
847,229
901,229
1256,229
230,600
230,318
429,230
482,230
711,230
989,232
1216,233
48,234
350,235
236,641
236,34
237,272
237,455
237,1155
237,861
237,302
237,840
237,616
776,238
241,381
241,420
241,1211
241,807
241,77
241,1186
1170,242
243,1203
243,733
243,253
243,319
243,126
243,1026
243,114
833,244
663,245
734,246
247,1203
247,252
247,531
248,717
248,75
248,180
248,1001
1087,249
67,251
247,252
736,253
254,188
254,420
254,286
254,957
957,254
1022,255
262,256
703,257
1159,259
23,260
261,1203
261,777
482,261
262,990
262,1266
262,451
262,256
262,739
262,156
218,262
945,262
952,262
989,262
943,262
180,262
264,361
264,209
265,205
265,777
265,1161
265,885
265,1019
265,395
265,743
265,172
265,156
265,309
1019,265
266,806
266,602
266,150
52,266
418,266
1041,266
49,266
180,266
47,266
1099,266
703,267
268,1087
268,168
268,112
268,532
268,1088
268,1056
268,1175
886,268
881,269
270,945
270,979
270,989
270,141
270,613
270,1047
270,748
270,309
190,270
39,270
472,270
391,270
838,270
602,270
529,271
272,777
272,129
272,759
272,192
118,272
1203,272
482,273
274,478
274,850
274,669
275,724
820,275
1203,275
1026,275
1230,275
276,894
276,681
276,336
276,371
371,276
277,524
277,777
277,1237
277,915
277,645
277,96
277,688
277,309
945,277
141,277
635,277
956,277
494,277
278,230
624,278
1022,278
429,278
188,278
1095,279
286,280
796,281
282,989
282,860
282,512
282,945
283,1005
283,49
283,409
283,180
283,644
1242,283
10,283
1053,284
285,23
285,112
285,549
286,411
286,136
286,403
286,853
286,172
286,40
286,1014
286,414
286,869
286,421
286,939
286,280
286,1227
286,298
286,206
286,777
286,659
286,409
286,253
286,1220
286,1055
286,516
286,1162
286,1067
286,1203
286,459
286,801
286,700
941,286
1052,286
260,286
769,286
217,287
288,1069
205,290
847,291
292,717
292,599
548,292
834,292
1175,292
190,293
1229,294
833,295
1104,296
297,157
297,455
297,1165
297,806
297,1088
297,602
297,1101
297,115
340,297
180,297
1225,297
302,297
1022,297
947,297
785,297
660,297
957,297
1234,298
1232,299
300,1282
300,76
300,272
300,8
1022,300
207,300
188,300
301,1203
301,647
302,1
302,272
302,547
302,297
302,1126
302,158
302,671
302,1275
1271,302
504,302
310,302
632,302
898,302
340,302
491,302
347,302
68,302
901,302
77,302
303,1203
527,303
304,303
1180,303
1186,303
304,1163
304,272
304,1174
304,1282
304,685
304,1036
304,303
304,494
1163,304
788,304
527,304
824,304
1186,304
305,805
1064,305
306,18
306,172
306,635
306,709
306,494
306,307
306,602
306,1214
306,1243
306,205
306,272
306,777
306,284
306,420
306,457
306,96
306,989
306,450
306,1086
306,286
306,156
1208,306
846,306
306,307
308,1
309,1228
309,172
309,777
310,133
310,435
310,1048
310,409
310,158
310,4
310,1203
310,962
310,139
22,310
1200,311
811,312
313,218
1183,315
978,316
1090,317
318,589
318,1125
318,272
318,1174
350,318
1111,318
996,318
230,318
1001,318
621,318
243,319
410,320
30,321
322,591
323,955
323,1258
323,49
323,532
323,1187
323,1088
323,668
560,323
384,323
402,324
168,325
389,327
797,328
541,329
1234,330
331,272
331,156
163,331
675,332
333,947
333,180
333,644
550,333
1242,333
335,777
335,945
335,141
190,335
602,335
150,335
275,335
338,335
276,336
1053,337
338,602
338,156
338,378
338,309
1262,338
750,338
297,338
1,338
1199,338
550,338
340,272
340,777
340,947
340,547
340,297
340,141
340,1225
340,302
340,602
310,340
180,340
389,340
326,340
901,340
129,341
532,342
344,831
344,27
344,1135
137,345
601,346
347,1022
347,350
347,188
347,1170
347,1158
347,302
347,227
347,124
347,711
837,347
570,347
504,347
348,158
348,800
348,777
349,1170
349,340
349,1088
349,115
350,1203
350,106
350,777
350,136
350,235
350,172
350,921
350,897
350,1027
350,1220
1052,350
351,1054
351,409
351,626
449,351
650,351
1078,352
635,353
703,354
355,44
355,777
355,646
355,1194
355,215
355,888
1239,355
356,750
548,356
882,357
358,1282
358,272
1063,358
76,358
1022,358
576,358
303,358
359,411
359,523
183,359
806,359
172,359
360,420
264,361
504,362
391,365
366,230
367,172
367,635
367,449
367,777
367,1093
367,427
1220,367
1203,367
1040,368
369,666
369,1030
369,60
369,532
369,878
369,634
369,1001
728,369
214,369
670,370
276,371
372,245
372,755
372,158
373,189
373,777
373,740
373,1239
373,855
373,888
1172,373
167,374
205,375
1208,376
377,187
377,57
783,377
566,377
378,141
378,613
1,378
272,378
1100,378
806,378
602,378
338,378
717,379
23,379
380,686
380,1197
380,159
380,172
976,380
241,381
838,382
383,978
383,758
383,1210
383,981
1,383
987,383
384,272
384,188
384,323
384,1159
955,384
776,385
548,386
205,387
1197,388
389,297
389,53
389,340
389,302
389,205
389,327
389,777
389,1022
389,1047
389,994
389,482
389,156
482,389
391,1093
391,365
391,969
391,141
391,635
391,602
391,494
1141,391
420,391
450,391
180,391
956,391
286,391
503,392
393,172
1055,393
394,275
