name,birth,incoming_links,outgoing_links,page,latitude,longitude
Omar Khayyam, (1048–1131),Euclid:al-Khwārizmī:Avicenna:Apollonius of Perge:,Tusi:Nizami Aruzi of Samarcand:Al-Khazini:Edward FitzGerald:André Gide:John Wallis:Hafez:Saccheri:,/wiki/Omar_Khayyam,FILL,FILL
Hinduism (Upanishads),,,Arthur Schopenhauer:,/wiki/Upanishads,FILL,FILL
Quintilian,,,Augustine of Hippo:,/wiki/Quintilian,FILL,FILL
Carneades, (c. 214–129 BC),Arcesilaus:Plato:Diogenes of Babylon:,Philo of Larissa:Clitomachus:Sextus Empiricus:,/wiki/Carneades,FILL,FILL
John Philoponus, (early 6th century),Aristotle:,Jean Buridan:Bonaventure:Giovanni Pico della Mirandola:Galileo Galilei:,/wiki/John_Philoponus,FILL,FILL
Driesch,,,Maurice Merleau-Ponty:,/wiki/Hans_Driesch,FILL,FILL
Ernest Sosa, (born 1940),Roderick Chisholm:Jaegwon Kim:Nicholas Rescher:,John Greco:Brie Gertler:,/wiki/Ernest_Sosa,FILL,FILL
Christine Korsgaard,,,"Onora O'Neill, Baroness O'Neill of Bengarve:",/wiki/Christine_Korsgaard,FILL,FILL
Zupančič,,,Slavoj Žižek:,/wiki/Alenka_Zupan%C4%8Di%C4%8D,FILL,FILL
de Staël,,,Ralph Waldo Emerson:,/wiki/Germaine_de_Sta%C3%ABl,FILL,FILL
Herbert Feigl, (1902–1988),Hans Hahn:Hans Thirring:Karl Bühler:Moritz Schlick:,Donald Davidson:,/wiki/Herbert_Feigl,FILL,FILL
Samuel Beckett,,,Alain Badiou:,/wiki/Samuel_Beckett,FILL,FILL
Henry of Harclay, (1270–1317),John Duns Scotus:,William of Ockham:,/wiki/Henry_of_Harclay,FILL,FILL
Dubnow,,,Leo Strauss:,/wiki/Simon_Dubnow,FILL,FILL
Hendrik Lorentz,,,Albert Einstein:,/wiki/Hendrik_Lorentz,FILL,FILL
Wilfrid Sellars, (1912–1989),Rudolf Carnap:Immanuel Kant:Clarence Irving Lewis:Edmund Husserl:Martin Heidegger:Roy Wood Sellars:Gilbert Ryle:,Jay Rosenberg:Paul Churchland:Ray Brassier:Robert Brandom:Ruth Millikan:Annette Baier:Daniel Dennett:Bas van Fraassen:John McDowell:Richard Rorty:,/wiki/Wilfrid_Sellars,FILL,FILL
Melanie Klein,,,Cornelius Castoriadis:,/wiki/Melanie_Klein,FILL,FILL
Meade,,,John Rawls:,/wiki/James_Meade,FILL,FILL
Ralph Cudworth, (1617–1688),Plato:,Masham:Shaftesbury:,/wiki/Ralph_Cudworth,FILL,FILL
Plutarch,,,Proclus:,/wiki/Plutarch_of_Athens,FILL,FILL
