,name,birth,incoming_links,outgoing_links,page,latitude,longitude
0,Omar Khayyam, (1048–1131),Euclid:al-Khwārizmī:Avicenna:Apollonius of Perge:,Tusi:Nizami Aruzi of Samarcand:Al-Khazini:Edward FitzGerald:André Gide:John Wallis:Hafez:Saccheri:,/wiki/Omar_Khayyam,36.21333,58.79583
1,Hinduism (Upanishads),,,Arthur Schopenhauer:,/wiki/Upanishads,FILL,FILL
2,Quintilian,,,Augustine of Hippo:,/wiki/Quintilian,N 42� 18' 18'',W 1� 57' 54''
3,Carneades, (c. 214–129 BC),Arcesilaus:Plato:Diogenes of Babylon:,Philo of Larissa:Clitomachus:Sextus Empiricus:,/wiki/Carneades,32.825,21.85806
4,John Philoponus, (early 6th century),Aristotle:,Jean Buridan:Bonaventure:Giovanni Pico della Mirandola:Galileo Galilei:,/wiki/John_Philoponus,31.2,29.917
5,Driesch,,,Maurice Merleau-Ponty:,/wiki/Hans_Driesch,49.85,7.867
6,Ernest Sosa, (born 1940),Roderick Chisholm:Jaegwon Kim:Nicholas Rescher:,John Greco:Brie Gertler:,/wiki/Ernest_Sosa,23.04278,-81.20361
7,Christine Korsgaard,,,"Onora O'Neill, Baroness O'Neill of Bengarve:",/wiki/Christine_Korsgaard,41.88194,-87.62778
8,Zupančič,,,Slavoj Žižek:,/wiki/Alenka_Zupan%C4%8Di%C4%8D,46.05556,14.50833
9,de Staël,,,Ralph Waldo Emerson:,/wiki/Germaine_de_Sta%C3%ABl,48.856613,2.352222
10,Herbert Feigl, (1902–1988),Hans Hahn:Hans Thirring:Karl Bühler:Moritz Schlick:,Donald Davidson:,/wiki/Herbert_Feigl,50.767,15.067
11,Samuel Beckett,,,Alain Badiou:,/wiki/Samuel_Beckett,53.2667,-6.1742
12,Henry of Harclay, (1270–1317),John Duns Scotus:,William of Ockham:,/wiki/Henry_of_Harclay,54.891,-2.944
13,Dubnow,,,Leo Strauss:,/wiki/Simon_Dubnow,54.017,31.717
14,Hendrik Lorentz,,,Albert Einstein:,/wiki/Hendrik_Lorentz,51.983,5.917
15,Wilfrid Sellars, (1912–1989),Rudolf Carnap:Immanuel Kant:Clarence Irving Lewis:Edmund Husserl:Martin Heidegger:Roy Wood Sellars:Gilbert Ryle:,Jay Rosenberg:Paul Churchland:Ray Brassier:Robert Brandom:Ruth Millikan:Annette Baier:Daniel Dennett:Bas van Fraassen:John McDowell:Richard Rorty:,/wiki/Wilfrid_Sellars,42.28139,-83.74833
