,name,birth,incoming_links,outgoing_links,page,latitude,longitude,births
0,Omar Khayyam, (1048–1131),Euclid:al-Khwārizmī:Avicenna:Apollonius of Perge:,Tusi:Nizami Aruzi of Samarcand:Al-Khazini:Edward FitzGerald:André Gide:John Wallis:Hafez:Saccheri:,/wiki/Omar_Khayyam,36.21333,58.79583,AD 1048-05-18 00:00:00
1,Hinduism (Upanishads),,,Arthur Schopenhauer:,/wiki/Upanishads,FILL,FILL,FILL
2,Quintilian,,,Augustine of Hippo:,/wiki/Quintilian,FILL,FILL,FILL
3,Carneades, (c. 214–129 BC),Arcesilaus:Plato:Diogenes of Babylon:,Philo of Larissa:Clitomachus:Sextus Empiricus:,/wiki/Carneades,32.825,21.85806,BC 0214-01-01 00:00:00
4,John Philoponus, (early 6th century),Aristotle:,Jean Buridan:Bonaventure:Giovanni Pico della Mirandola:Galileo Galilei:,/wiki/John_Philoponus,31.2,29.917,AD 0490-11-01 00:00:00
5,Driesch,,,Maurice Merleau-Ponty:,/wiki/Hans_Driesch,49.85,7.867,AD 1867-10-28 00:00:00
6,Ernest Sosa, (born 1940),Roderick Chisholm:Jaegwon Kim:Nicholas Rescher:,John Greco:Brie Gertler:,/wiki/Ernest_Sosa,23.04278,-81.20361,AD 1940-06-17 00:00:00
7,Christine Korsgaard,,,"Onora O'Neill, Baroness O'Neill of Bengarve:",/wiki/Christine_Korsgaard,41.88194,-87.62778,AD 1952-04-09 00:00:00
8,Zupančič,,,Slavoj Žižek:,/wiki/Alenka_Zupan%C4%8Di%C4%8D,46.05556,14.50833,AD 1966-04-01 00:00:00
9,de Staël,,,Ralph Waldo Emerson:,/wiki/Germaine_de_Sta%C3%ABl,48.856613,2.352222,AD 1766-04-22 00:00:00
10,Herbert Feigl, (1902–1988),Hans Hahn:Hans Thirring:Karl Bühler:Moritz Schlick:,Donald Davidson:,/wiki/Herbert_Feigl,50.767,15.067,AD 1902-12-14 00:00:00
11,Samuel Beckett,,,Alain Badiou:,/wiki/Samuel_Beckett,53.2667,-6.1742,AD 1906-04-13 00:00:00
12,Henry of Harclay, (1270–1317),John Duns Scotus:,William of Ockham:,/wiki/Henry_of_Harclay,54.891,-2.944,AD 1270-11-01 00:00:00
13,Dubnow,,,Leo Strauss:,/wiki/Simon_Dubnow,54.017,31.717,AD 1860-09-10 00:00:00
14,Hendrik Lorentz,,,Albert Einstein:,/wiki/Hendrik_Lorentz,51.983,5.917,AD 1853-07-18 00:00:00
15,Wilfrid Sellars, (1912–1989),Rudolf Carnap:Immanuel Kant:Clarence Irving Lewis:Edmund Husserl:Martin Heidegger:Roy Wood Sellars:Gilbert Ryle:,Jay Rosenberg:Paul Churchland:Ray Brassier:Robert Brandom:Ruth Millikan:Annette Baier:Daniel Dennett:Bas van Fraassen:John McDowell:Richard Rorty:,/wiki/Wilfrid_Sellars,42.28139,-83.74833,AD 1912-05-20 00:00:00
16,Melanie Klein,,,Cornelius Castoriadis:,/wiki/Melanie_Klein,48.2,16.367,AD 1882-03-30 00:00:00
17,Meade,,,John Rawls:,/wiki/James_Meade,50.608,-1.96,AD 1907-06-23 00:00:00
18,Ralph Cudworth, (1617–1688),Plato:,Masham:Shaftesbury:,/wiki/Ralph_Cudworth,51.05,-2.85,AD 1617-01-01 00:00:00
19,Plutarch,,,Proclus:,/wiki/Plutarch_of_Athens,37.6381,21.6306,AD 0350-01-01 00:00:00
20,Sigmund Freud, (1856–1939),,List of psychoanalysts:List of psychoanalytical theorists:,/wiki/Sigmund_Freud,49.63861,18.14389,AD 1856-05-06 00:00:00
21,Henry Harclay,,,William of Ockham:,/wiki/Henry_Harclay,54.891,-2.944,AD 1270-11-01 00:00:00
22,Jesus of Nazareth,,,Thomas Jefferson:,/wiki/Jesus,31.783,35.217,FILL
23,Abarbanel,,,Leo Strauss:,/wiki/Isaac_Abarbanel,38.7252668,-9.1500193,AD 1437-11-01 00:00:00
