,name,birth,incoming_links,outgoing_links,page
0,Muhammad Abduh, (1849–1905),Abu al-Mānsūr al-Matūrīdī:Ibn Sina:Jamal ad-Din al-Afghani:Abu Hamīd al-Ghāzāli:Shihāb al-Din Sührawardį:Ibn 'Arabi:,Mohammed al-Ghazali:Mahmud Shaltut:Hassan al-Banna:Muhammad al-Tahir ibn Ashur:Sayyid Qutb:Mustafa al-Maraghi:Rashid Rida:Mahmoud Taleghani:Yusuf al-Qaradawi:Abul Kalam Azad:Muhammad Asad:,/wiki/Muhammad_Abduh
1,Peter Abelard, (1079–1142),Boethius:Aristotle:Porphyry:,Arnold of Brescia:William of Ockham:John of Salisbury:,/wiki/Peter_Abelard
2,Miguel Abensour, (1939–2017),Claude Lefort:,,/wiki/Miguel_Abensour
3,Abhinavagupta, (fl. c. 975–1025),,Lakṣmaṇagupta:Śambhunātha:Bhūtirāja:,/wiki/Abhinavagupta
4,Robert Merrihew Adams, (born 1937),Gottfried Wilhelm Leibniz:Søren Kierkegaard:,,/wiki/Robert_Merrihew_Adams
5,Adelard of Bath, (12th century),Euclid:Aristotle:Plato:Islamic philosophy:,William of Conches:Roger Bacon:Hugh of Saint Victor:Isaac of Stella:Robert Grosseteste:Peter Abelard:,/wiki/Adelard_of_Bath
6,Theodor Adorno, (1903–1969),Spengler:Kracauer:Husserl:Horkheimer:Schoenberg:Cornelius:Baudelaire:Lukács:Proust:Kant:Simmel:Freud:Berg:Kafka:Kierkegaard:Hegel:Nietzsche:Marx:Benjamin:Bloch:Mann:Weber:,Butler:Honneth:Zerzan:Marcuse:Bauman:Geuss:Habermas:Horkheimer:Benjamin:Fisher:Reichelt:Badiou:Jameson:Žižek:,/wiki/Theodor_Adorno
7,Aenesidemus, (1st century BC),Pyrrho:Heraclitus:Timon:,Favorinus:Plutarch:Sextus Empiricus:,/wiki/Aenesidemus
8,Jamal al-Din al-Afghani, (1839–1897),Alpharabius:Avempace:Mulla Sadra:Nasir al-Din al-Tusi:Averroes:Mir Damad:Suhrawardi:Avicenna:,Saad Zaghloul:Maulana Azad:Mirza Reza Kermani:Muhammad Abduh:Rashid Rida:,/wiki/Jamal_al-Din_al-Afghani
9,Agrippa the Sceptic, (1st/2nd century),Aenesidemus:Pyrrho:Timon:,Sextus Empiricus:,/wiki/Agrippa_the_Sceptic
10,Hans Albert, (born 1921),Karl Popper:Max Weber:Karl-Otto Apel:,,/wiki/Hans_Albert
11,Albert of Saxony (philosopher), (c. 1316–1390),Jean Buridan:William of Ockham:Aristotle:Abu'l-Barakāt al-Baghdādī:,,/wiki/Albert_of_Saxony_(philosopher)
