name,birth,incoming_links,outgoing_links
Muhammad Abduh, (1849–1905),Abu Hamīd al-Ghāzāli:Ibn 'Arabi:Ibn Sina:Shihāb al-Din Sührawardį:Jamal ad-Din al-Afghani:Abu al-Mānsūr al-Matūrīdī:,Yusuf al-Qaradawi:Abul Kalam Azad:Rashid Rida:Mahmoud Taleghani:Muhammad Asad:Sayyid Qutb:Muhammad al-Tahir ibn Ashur:Mohammed al-Ghazali:Mustafa al-Maraghi:Hassan al-Banna:Mahmud Shaltut:
Peter Abelard, (1079–1142),Porphyry:Aristotle:Boethius:,William of Ockham:John of Salisbury:Arnold of Brescia:
Miguel Abensour, (1939–2017),Claude Lefort:,
Abhinavagupta, (fl. c. 975–1025),,Lakṣmaṇagupta:Bhūtirāja:Śambhunātha:
Robert Merrihew Adams, (born 1937),Gottfried Wilhelm Leibniz:Søren Kierkegaard:,
Adelard of Bath, (12th century),Aristotle:Plato:Euclid:Islamic philosophy:,Isaac of Stella:William of Conches:Peter Abelard:Hugh of Saint Victor:Robert Grosseteste:Roger Bacon:
Theodor Adorno, (1903–1969),Cornelius:Bloch:Kant:Lukács:Husserl:Freud:Marx:Kierkegaard:Weber:Horkheimer:Spengler:Kafka:Hegel:Proust:Berg:Schoenberg:Baudelaire:Simmel:Benjamin:Kracauer:Mann:Nietzsche:,Honneth:Habermas:Reichelt:Badiou:Benjamin:Fisher:Bauman:Zerzan:Žižek:Butler:Marcuse:Horkheimer:Jameson:Geuss:
Aenesidemus, (1st century BC),Timon:Heraclitus:Pyrrho:,Favorinus:Sextus Empiricus:Plutarch:
Jamal al-Din al-Afghani, (1839–1897),Avicenna:Nasir al-Din al-Tusi:Alpharabius:Mir Damad:Suhrawardi:Averroes:Mulla Sadra:Avempace:,Mirza Reza Kermani:Saad Zaghloul:Muhammad Abduh:Rashid Rida:Maulana Azad:
Agrippa the Sceptic, (1st/2nd century),Timon:Aenesidemus:Pyrrho:,Sextus Empiricus:
Hans Albert, (born 1921),Karl-Otto Apel:Karl Popper:Max Weber:,
Albert of Saxony (philosopher), (c. 1316–1390),Abu'l-Barakāt al-Baghdādī:Aristotle:Jean Buridan:William of Ockham:,
