name,birth,incoming_links,outgoing_links,page,latitude,longitude
François Guizot,,,Karl Marx:,/wiki/Fran%C3%A7ois_Guizot,FILL,FILL
Hugo Grotius, (1583–1645),Justus Lipsius:Alberico Gentili:Francisco Suárez:Jean Bodin:,Samuel von Pufendorf:Thomas Hobbes:Gottfried Wilhelm Leibniz:Richard Cumberland:Jean Barbeyrac:John Locke:Christian Thomasius:Cornelius van Bynkershoek:John Selden:Vico:John Milton:Jean-Jacques Rousseau:Gustav II Adolf:Baruch Spinoza:,/wiki/Hugo_Grotius,FILL,FILL
James Mark Baldwin,,,Jean Piaget:,/wiki/James_Mark_Baldwin,FILL,FILL
Michael Frede, (1940–2007),et:de:Günther Patzig:,Michael Forster:,/wiki/Michael_Frede,FILL,FILL
Ernesto Laclau, (1935–2014),Lacan:Marx:Rorty:Saussure:Husserl:Gramsci:Althusser:Derrida:Ramos:Hobsbawm:Wittgenstein:Foucault:,Errejón:Norval:Critchley:Butler:Marchart:Stavrakakis:Žižek:,/wiki/Ernesto_Laclau,FILL,FILL
Terence,,,Augustine of Hippo:,/wiki/Terence,FILL,FILL
Emile Boutroux, (1845–1921),Maine de Biran:,Émile Durkheim:Maurice Blondel:,/wiki/Emile_Boutroux,FILL,FILL
Cato the Elder,,,Henry David Thoreau:,/wiki/Cato_the_Elder,FILL,FILL
Agrippa,,,Sextus Empiricus:,/wiki/Agrippa_the_Skeptic,FILL,FILL
Marquis de Sade,,,Georges Bataille:,/wiki/Marquis_de_Sade,FILL,FILL
Ortlepp,,,Friedrich Nietzsche:,/wiki/Ernst_Ortlepp,FILL,FILL
Hellenistic philosophy,,,Al-Kindi:,/wiki/Hellenistic_philosophy,FILL,FILL
Mahasweta Devi,,,Gayatri Chakravorty Spivak:,/wiki/Mahasweta_Devi,FILL,FILL
Kostas Axelos,,,Henri Lefebvre:,/wiki/Kostas_Axelos,FILL,FILL
R. D. Laing,,,Avital Ronell:,/wiki/R._D._Laing,FILL,FILL
Henry David Thoreau, (1817–1862),Aeschylus:Aristotle:Thomas Carlyle:Charles Darwin:Étienne de La Boétie:Indian philosophy:Cato the Elder:Alexander von Humboldt:Ralph Waldo Emerson:Pindar:Homer:,Walt Whitman:Leo Tolstoy:Mahatma Gandhi:Martin Luther King Jr.:John Zerzan:George Bernard Shaw:Sinclair Lewis:E. O. Wilson:W. B. Yeats:Stanley Cavell:Marcel Proust:E. B. White:Christopher McCandless:John Muir:John F. Kennedy:Emma Goldman:Glenn Gould:Upton Sinclair:Ernest Hemingway:B. F. Skinner:,/wiki/Henry_David_Thoreau,FILL,FILL
Goldsmith,,,Louis Gabriel Ambroise de Bonald:,/wiki/Oliver_Goldsmith,FILL,FILL
Alberto González Domínguez,,,Mario Bunge:,/wiki/Alberto_Gonz%C3%A1lez_Dom%C3%ADnguez,FILL,FILL
Richard Whately,,,John Henry Newman:,/wiki/Richard_Whately,FILL,FILL
G. E. M. Anscombe, (1918–2001),Peter Geach:Ludwig Wittgenstein:Thomas Aquinas:,Charles Taylor:Alasdair MacIntyre:Roger Scruton:Donald Davidson:Michael Dummett:Thomas Nagel:John Searle:Brian Davies:Anthony Kenny:Iris Murdoch:Philippa Foot:,/wiki/G._E._M._Anscombe,FILL,FILL
John Spencer,,,Karl Leonhard Reinhold:,/wiki/John_Spencer_(priest),FILL,FILL
Gayle Rubin,,,Judith Butler:,/wiki/Gayle_Rubin,FILL,FILL
Wolfhart Pannenberg, (1928–2014),Karl Barth:Edmund Schlink:G. W. F. Hegel:Hans von Campenhausen:Karl Löwith:Gerhard von Rad:,Carl Braaten:Roger Olson:Ted Peters:Robert Jenson:Jon Sobrino:,/wiki/Wolfhart_Pannenberg,FILL,FILL
Antonio Negri, (born 1933),Carl Schmitt:Mario Tronti:György Lukács:Félix Guattari:Michel Foucault:Baruch Spinoza:Augustine of Hippo:Karl Marx:Jacques Camatte:Jean Baudrillard:Niccolò Machiavelli:Galvano Della Volpe:Antonio Gramsci:Thomas Hobbes:Henri Lefebvre:Gilles Deleuze:Louis Althusser:G. W. F. Hegel:Raya Dunayevskaya:,Tiqqun:Hugo Chávez:Leopoldina Fortunati:Michael Hardt:Richard J. F. Day:,/wiki/Antonio_Negri,FILL,FILL
Thomas White,,,Thomas Hobbes:,/wiki/Thomas_White_(scholar),FILL,FILL
Joseph de Maistre, (1753–1821),Saint-Martin:Malebranche:Socrates:Voltaire:Hume:Rousseau:Augustine:Aristotle:More:Plutarch:Origen:Erasmus:Descartes:Bible:Plato:Montesquieu:Church Fathers:Aquinas:Vico:Bonald:Fénelon:Gibbon:Burke:Tertullian:Bossuet:,Walsh:Lewis:Yockey:Donoso:Chesterton:Saint-Bonnet:Schmitt:Maurras:Cioran:Benson:Boutang:Rosmini:Girard:MacDonald:Baudelaire:von Haller:Ljotić:Veuillot:Kirk:Buckley:Evola:Newman:Barbey:Belloc:Lévi:Bonald:Guénon:Bernanos:Carroll:Bloy:Saint-Simon:Comte:Tolkien:,/wiki/Joseph_de_Maistre,FILL,FILL
Giovanni Pico della Mirandola, (1463–1494),Aristotle:Nicholas of Cusa:Plato:Pseudo-Dionysius:Chaldean Oracles:Neoplatonism:Marsilio Ficino:Kabbalah:,Sir Thomas More:Erasmus:John Colet:Thomas Cajetan:,/wiki/Giovanni_Pico_della_Mirandola,FILL,FILL
David Papineau, (born 1947),Ian Hacking:,Stathis Psillos:,/wiki/David_Papineau,FILL,FILL
Donald Davidson (philosopher), (1917–2003),Feigl:Russell:Wittgenstein:Quine:Goodman:Kant:Frege:Tarski:,Colin McGinn:Michael Dummett:Robert Brandom:Mark Bevir:Tyler Burge:Ernest Lepore:Kirk Ludwig:Jeff Malpas:John McDowell:Richard Rorty:,/wiki/Donald_Davidson_(philosopher),FILL,FILL
Avicenna,"), (980–1037)",Aristotle:Galen:Al-Biruni:Abul Hasan Hankari:Neoplatonism:al-Masihi:al-Farabi:Rhazes:Hippocrates:,Ibn Rushd:Omar Khayyám:Shahab al-Din Suhrawardi:Al-Biruni:Albertus Magnus:Tusi:Duns Scotus:Aquinas:Abu 'Ubayd al-Juzjani:Enlightenment philosophers:Hossein Nasr:René Descartes:Ibn Tufail:William of Ockham:Ibn al-Nafis:Maimonides:,/wiki/Avicenna,FILL,FILL
Marcus George Singer,,,Claudia Card:,/wiki/Marcus_Ge,FILL,FILL
Reclus,,,Peter Kropotkin:,/wiki/%C3%89lis%C3%A9e_Reclus,FILL,FILL
Riezler,,,Leo Strauss:,/wiki/Kurt_Riezler,FILL,FILL
Monica Furlong,,,Alan Watts:,/wiki/Monica_Furlong,FILL,FILL
Giles of Rome, (c. 1243–1316),Pseudo-Dionysius the Areopagite:Aristotle:Proclus:Averroes:Anselm:Thomas Aquinas:Avicenna:Augustine:,Thomas of Strasburg:James of Viterbo:,/wiki/Giles_of_Rome,FILL,FILL
Danilo I,,,Petar II Petrović-Njegoš:,"/wiki/Danilo_I,_Metropolitan_of_Cetinje",FILL,FILL
Karl Jaspers, (1883–1969),Immanuel Kant:Nicolaus Cusanus:Max Weber:Søren Kierkegaard:Georg Wilhelm Friedrich Hegel:Martin Heidegger:Spinoza:Friedrich Nietzsche:Meister Eckhart:,William A. Earle:Paul Ricœur:Heinrich Blücher:Hans-Georg Gadamer:Hannah Arendt:,/wiki/Karl_Jaspers,FILL,FILL
Friedrich Engels, (1820–1895),Hegel:Fourier:Marx:Hess:Feuerbach:Heraclitus:Morgan:Goethe:Ricardo:Smith:Rousseau:Stirner:,List of Marxists:,/wiki/Friedrich_Engels,FILL,FILL
Heiberg,,,Søren Kierkegaard:,/wiki/Johan_Ludvig_Heiberg_(poet),FILL,FILL
Guy Debord, (1931–1994),Isidore Isou:Dada:Andre Breton:Henri Lefebvre:Friedrich Engels:Comte de Lautréamont:Karl Marx:Anton Pannekoek:Frankfurt School:György Lukács:Cornelius Castoriadis:Georges Bataille:G. W. F. Hegel:Marquis de Sade:Jean-Paul Sartre:,Giorgio Agamben:Paul Virilio:Ken Knabb:Tiqqun:Post-left anarchy:May 1968:Jean Baudrillard:John Zerzan:Punk rock:,/wiki/Guy_Debord,FILL,FILL
Herodotus,,,Giambattista Vico:,/wiki/Herodotus,FILL,FILL
Virgil,,,Augustine of Hippo:,/wiki/Virgil,FILL,FILL
Gilles Deleuze, (1925–1995),Wahl:Uexküll:Hyppolite:Lawrence:Scotus:Spinoza:Hume:Klossowski:Leibniz:Simondon:Proust:Kant:Canguilhem:Alquié:Lacan:Bergson:Shestov:Whitehead:Althusser:Sartre:Freud:Foucault:Kafka:Nietzsche:Marx:Bateson:Burroughs:Beckett:Peirce:Gandillac:Borges:,DeLanda:Land:Latour:Massumi:Badiou:Guattari:Sloterdijk:Reynolds:Shapiro:Brassier:Grosz:Bryant:Agamben:Fisher:Hardt:Foucault:Pelbart:Stiegler:Negri:Braidotti:,/wiki/Gilles_Deleuze,FILL,FILL
Yang Chu, (370–319 BC),,Mencius:Max Stirner:,/wiki/Yang_Chu,FILL,FILL
Pietro Giordani,,,Giacomo Leopardi:,/wiki/Pietro_Giordani,FILL,FILL
Curry,,,Saul Kripke:,/wiki/Haskell_Curry,FILL,FILL
Anne Conway,,,Gottfried Leibniz:,/wiki/Anne_Conway_(philosopher),FILL,FILL
Thomas Walker Arnold,,,Muhammad Iqbal:,/wiki/Thomas_Walker_Arnold,FILL,FILL
Gierke,,,Leo Strauss:,/wiki/Otto_von_Gierke,FILL,FILL
Friedrich Forberg,,,Hans Vaihinger:,/wiki/Friedrich_Karl_Forberg,FILL,FILL
Paul of Venice, (1369–1429),Walter Burley:Aristotle:John Wycliffe:Albertus Magnus:Averroes:Giles of Rome:Augustine:Duns Scotus:Thomas Aquinas:,Paolo da Pergola:Gaetano da Thiene:,/wiki/Paul_of_Venice,FILL,FILL
G. L. Boggs,,,Cornelius Castoriadis:,/wiki/Grace_Lee_Boggs,FILL,FILL
Ruth Barcan Marcus, (1921–2012),Willard Van Orman Quine:Arthur Prior:,Saul Kripke:Timothy Williamson:,/wiki/Ruth_Barcan_Marcus,FILL,FILL
Nizan,,,Jean-Paul Sartre:,/wiki/Paul_Nizan,FILL,FILL
