,name,birth,incoming_links,outgoing_links,page,latitude,longitude
0,François Guizot,,,Karl Marx:,/wiki/Fran%C3%A7ois_Guizot,FILL,FILL
1,Hugo Grotius, (1583–1645),Justus Lipsius:Alberico Gentili:Francisco Suárez:Jean Bodin:,Samuel von Pufendorf:Thomas Hobbes:Gottfried Wilhelm Leibniz:Richard Cumberland:Jean Barbeyrac:John Locke:Christian Thomasius:Cornelius van Bynkershoek:John Selden:Vico:John Milton:Jean-Jacques Rousseau:Gustav II Adolf:Baruch Spinoza:,/wiki/Hugo_Grotius,52.0117361,4.3592083
2,James Mark Baldwin,,,Jean Piaget:,/wiki/James_Mark_Baldwin,FILL,FILL
3,Michael Frede, (1940–2007),et:de:Günther Patzig:,Michael Forster:,/wiki/Michael_Frede,52.52,13.405
4,Ernesto Laclau, (1935–2014),Lacan:Marx:Rorty:Saussure:Husserl:Gramsci:Althusser:Derrida:Ramos:Hobsbawm:Wittgenstein:Foucault:,Errejón:Norval:Critchley:Butler:Marchart:Stavrakakis:Žižek:,/wiki/Ernesto_Laclau,-34.60333,-58.38167
5,Terence,,,Augustine of Hippo:,/wiki/Terence,FILL,FILL
6,Emile Boutroux, (1845–1921),Maine de Biran:,Émile Durkheim:Maurice Blondel:,/wiki/Emile_Boutroux,48.8172,2.3219
7,Cato the Elder,,,Henry David Thoreau:,/wiki/Cato_the_Elder,41.79833,12.71083
8,Agrippa,,,Sextus Empiricus:,/wiki/Agrippa_the_Skeptic,FILL,FILL
9,Marquis de Sade,,,Georges Bataille:,/wiki/Marquis_de_Sade,FILL,FILL
10,Ortlepp,,,Friedrich Nietzsche:,/wiki/Ernst_Ortlepp,FILL,FILL
11,Hellenistic philosophy,,,Al-Kindi:,/wiki/Hellenistic_philosophy,FILL,FILL
12,Mahasweta Devi,,,Gayatri Chakravorty Spivak:,/wiki/Mahasweta_Devi,FILL,FILL
13,Kostas Axelos,,,Henri Lefebvre:,/wiki/Kostas_Axelos,37.98417,23.72806
14,R. D. Laing,,,Avital Ronell:,/wiki/R._D._Laing,55.83761,-4.261055
15,Henry David Thoreau, (1817–1862),Aeschylus:Aristotle:Thomas Carlyle:Charles Darwin:Étienne de La Boétie:Indian philosophy:Cato the Elder:Alexander von Humboldt:Ralph Waldo Emerson:Pindar:Homer:,Walt Whitman:Leo Tolstoy:Mahatma Gandhi:Martin Luther King Jr.:John Zerzan:George Bernard Shaw:Sinclair Lewis:E. O. Wilson:W. B. Yeats:Stanley Cavell:Marcel Proust:E. B. White:Christopher McCandless:John Muir:John F. Kennedy:Emma Goldman:Glenn Gould:Upton Sinclair:Ernest Hemingway:B. F. Skinner:,/wiki/Henry_David_Thoreau,42.46028,-71.34944
16,Goldsmith,,,Louis Gabriel Ambroise de Bonald:,/wiki/Oliver_Goldsmith,FILL,FILL
17,Alberto González Domínguez,,,Mario Bunge:,/wiki/Alberto_Gonz%C3%A1lez_Dom%C3%ADnguez,FILL,FILL
18,Richard Whately,,,John Henry Newman:,/wiki/Richard_Whately,FILL,FILL
19,G. E. M. Anscombe, (1918–2001),Peter Geach:Ludwig Wittgenstein:Thomas Aquinas:,Charles Taylor:Alasdair MacIntyre:Roger Scruton:Donald Davidson:Michael Dummett:Thomas Nagel:John Searle:Brian Davies:Anthony Kenny:Iris Murdoch:Philippa Foot:,/wiki/G._E._M._Anscombe,52.6653,-8.6238
20,John Spencer,,,Karl Leonhard Reinhold:,/wiki/John_Spencer_(priest),FILL,FILL
21,Gayle Rubin,,,Judith Butler:,/wiki/Gayle_Rubin,33.9169,-80.8964
22,Wolfhart Pannenberg, (1928–2014),Karl Barth:Edmund Schlink:G. W. F. Hegel:Hans von Campenhausen:Karl Löwith:Gerhard von Rad:,Carl Braaten:Roger Olson:Ted Peters:Robert Jenson:Jon Sobrino:,/wiki/Wolfhart_Pannenberg,53.4325,14.54806
23,Antonio Negri, (born 1933),Carl Schmitt:Mario Tronti:György Lukács:Félix Guattari:Michel Foucault:Baruch Spinoza:Augustine of Hippo:Karl Marx:Jacques Camatte:Jean Baudrillard:Niccolò Machiavelli:Galvano Della Volpe:Antonio Gramsci:Thomas Hobbes:Henri Lefebvre:Gilles Deleuze:Louis Althusser:G. W. F. Hegel:Raya Dunayevskaya:,Tiqqun:Hugo Chávez:Leopoldina Fortunati:Michael Hardt:Richard J. F. Day:,/wiki/Antonio_Negri,45.417,11.867
24,Thomas White,,,Thomas Hobbes:,/wiki/Thomas_White_(scholar),FILL,FILL
25,Joseph de Maistre, (1753–1821),Saint-Martin:Malebranche:Socrates:Voltaire:Hume:Rousseau:Augustine:Aristotle:More:Plutarch:Origen:Erasmus:Descartes:Bible:Plato:Montesquieu:Church Fathers:Aquinas:Vico:Bonald:Fénelon:Gibbon:Burke:Tertullian:Bossuet:,Walsh:Lewis:Yockey:Donoso:Chesterton:Saint-Bonnet:Schmitt:Maurras:Cioran:Benson:Boutang:Rosmini:Girard:MacDonald:Baudelaire:von Haller:Ljotić:Veuillot:Kirk:Buckley:Evola:Newman:Barbey:Belloc:Lévi:Bonald:Guénon:Bernanos:Carroll:Bloy:Saint-Simon:Comte:Tolkien:,/wiki/Joseph_de_Maistre,45.57,5.9118
26,Giovanni Pico della Mirandola, (1463–1494),Aristotle:Nicholas of Cusa:Plato:Pseudo-Dionysius:Chaldean Oracles:Neoplatonism:Marsilio Ficino:Kabbalah:,Sir Thomas More:Erasmus:John Colet:Thomas Cajetan:,/wiki/Giovanni_Pico_della_Mirandola,44.88667,11.06667
27,David Papineau, (born 1947),Ian Hacking:,Stathis Psillos:,/wiki/David_Papineau,45.81667,9.08333
28,Donald Davidson (philosopher), (1917–2003),Feigl:Russell:Wittgenstein:Quine:Goodman:Kant:Frege:Tarski:,Colin McGinn:Michael Dummett:Robert Brandom:Mark Bevir:Tyler Burge:Ernest Lepore:Kirk Ludwig:Jeff Malpas:John McDowell:Richard Rorty:,/wiki/Donald_Davidson_(philosopher),42.10139,-72.59028
29,Avicenna,"), (980–1037)",Aristotle:Galen:Al-Biruni:Abul Hasan Hankari:Neoplatonism:al-Masihi:al-Farabi:Rhazes:Hippocrates:,Ibn Rushd:Omar Khayyám:Shahab al-Din Suhrawardi:Al-Biruni:Albertus Magnus:Tusi:Duns Scotus:Aquinas:Abu 'Ubayd al-Juzjani:Enlightenment philosophers:Hossein Nasr:René Descartes:Ibn Tufail:William of Ockham:Ibn al-Nafis:Maimonides:,/wiki/Avicenna,FILL,FILL
30,Marcus George Singer,,,Claudia Card:,/wiki/Marcus_Ge,FILL,FILL
31,Reclus,,,Peter Kropotkin:,/wiki/%C3%89lis%C3%A9e_Reclus,44.84,0.22
32,Riezler,,,Leo Strauss:,/wiki/Kurt_Riezler,48.133,11.567
33,Monica Furlong,,,Alan Watts:,/wiki/Monica_Furlong,FILL,FILL
34,Giles of Rome, (c. 1243–1316),Pseudo-Dionysius the Areopagite:Aristotle:Proclus:Averroes:Anselm:Thomas Aquinas:Avicenna:Augustine:,Thomas of Strasburg:James of Viterbo:,/wiki/Giles_of_Rome,41.883,12.5
35,Danilo I,,,Petar II Petrović-Njegoš:,"/wiki/Danilo_I,_Metropolitan_of_Cetinje",FILL,FILL
36,Karl Jaspers, (1883–1969),Immanuel Kant:Nicolaus Cusanus:Max Weber:Søren Kierkegaard:Georg Wilhelm Friedrich Hegel:Martin Heidegger:Spinoza:Friedrich Nietzsche:Meister Eckhart:,William A. Earle:Paul Ricœur:Heinrich Blücher:Hans-Georg Gadamer:Hannah Arendt:,/wiki/Karl_Jaspers,53.14389,8.21389
37,Friedrich Engels, (1820–1895),Hegel:Fourier:Marx:Hess:Feuerbach:Heraclitus:Morgan:Goethe:Ricardo:Smith:Rousseau:Stirner:,List of Marxists:,/wiki/Friedrich_Engels,51.267,7.2
38,Heiberg,,,Søren Kierkegaard:,/wiki/Johan_Ludvig_Heiberg_(poet),FILL,FILL
