,name,birth,incoming_links,outgoing_links,page,latitude,longitude,births
0,François Guizot,,,Karl Marx:,/wiki/Fran%C3%A7ois_Guizot,43.838,4.361,AD 1787-10-04 00:00:00
1,Hugo Grotius, (1583–1645),Justus Lipsius:Alberico Gentili:Francisco Suárez:Jean Bodin:,Samuel von Pufendorf:Thomas Hobbes:Gottfried Wilhelm Leibniz:Richard Cumberland:Jean Barbeyrac:John Locke:Christian Thomasius:Cornelius van Bynkershoek:John Selden:Vico:John Milton:Jean-Jacques Rousseau:Gustav II Adolf:Baruch Spinoza:,/wiki/Hugo_Grotius,52.0117361,4.3592083,AD 1583-04-10 00:00:00
2,James Mark Baldwin,,,Jean Piaget:,/wiki/James_Mark_Baldwin,FILL,FILL,FILL
3,Michael Frede, (1940–2007),et:de:Günther Patzig:,Michael Forster:,/wiki/Michael_Frede,52.52,13.405,AD 1940-05-31 00:00:00
4,Ernesto Laclau, (1935–2014),Lacan:Marx:Rorty:Saussure:Husserl:Gramsci:Althusser:Derrida:Ramos:Hobsbawm:Wittgenstein:Foucault:,Errejón:Norval:Critchley:Butler:Marchart:Stavrakakis:Žižek:,/wiki/Ernesto_Laclau,-34.60333,-58.38167,AD 1935-10-06 00:00:00
5,Terence,,,Augustine of Hippo:,/wiki/Terence,,,BC 0195-01-01 00:00:00
6,Emile Boutroux, (1845–1921),Maine de Biran:,Émile Durkheim:Maurice Blondel:,/wiki/Emile_Boutroux,48.8172,2.3219,AD 1845-07-28 00:00:00
7,Cato the Elder,,,Henry David Thoreau:,/wiki/Cato_the_Elder,41.79833,12.71083,BC 0234-01-01 00:00:00
8,Agrippa,,,Sextus Empiricus:,/wiki/Agrippa_the_Skeptic,31.5131,-9.7697,FILL
9,Marquis de Sade,,,Georges Bataille:,/wiki/Marquis_de_Sade,48.856613,2.352222,AD 1740-06-02 00:00:00
10,Ortlepp,,,Friedrich Nietzsche:,/wiki/Ernst_Ortlepp,FILL,FILL,FILL
11,Hellenistic philosophy,,,Al-Kindi:,/wiki/Hellenistic_philosophy,FILL,FILL,FILL
12,Mahasweta Devi,,,Gayatri Chakravorty Spivak:,/wiki/Mahasweta_Devi,23.76389,90.38889,AD 1926-01-14 00:00:00
13,Kostas Axelos,,,Henri Lefebvre:,/wiki/Kostas_Axelos,37.98417,23.72806,AD 1924-06-26 00:00:00
14,R. D. Laing,,,Avital Ronell:,/wiki/R._D._Laing,55.83761,-4.261055,AD 1927-10-07 00:00:00
15,Henry David Thoreau, (1817–1862),Aeschylus:Aristotle:Thomas Carlyle:Charles Darwin:Étienne de La Boétie:Indian philosophy:Cato the Elder:Alexander von Humboldt:Ralph Waldo Emerson:Pindar:Homer:,Walt Whitman:Leo Tolstoy:Mahatma Gandhi:Martin Luther King Jr.:John Zerzan:George Bernard Shaw:Sinclair Lewis:E. O. Wilson:W. B. Yeats:Stanley Cavell:Marcel Proust:E. B. White:Christopher McCandless:John Muir:John F. Kennedy:Emma Goldman:Glenn Gould:Upton Sinclair:Ernest Hemingway:B. F. Skinner:,/wiki/Henry_David_Thoreau,42.46028,-71.34944,AD 1817-07-12 00:00:00
16,Goldsmith,,,Louis Gabriel Ambroise de Bonald:,/wiki/Oliver_Goldsmith,53.566667,-7.766667,AD 1728-11-10 00:00:00
17,Alberto González Domínguez,,,Mario Bunge:,/wiki/Alberto_Gonz%C3%A1lez_Dom%C3%ADnguez,FILL,FILL,FILL
18,Richard Whately,,,John Henry Newman:,/wiki/Richard_Whately,51.5165,-0.145,AD 1787-02-01 00:00:00
19,G. E. M. Anscombe, (1918–2001),Peter Geach:Ludwig Wittgenstein:Thomas Aquinas:,Charles Taylor:Alasdair MacIntyre:Roger Scruton:Donald Davidson:Michael Dummett:Thomas Nagel:John Searle:Brian Davies:Anthony Kenny:Iris Murdoch:Philippa Foot:,/wiki/G._E._M._Anscombe,52.6653,-8.6238,AD 1919-03-18 00:00:00
20,John Spencer,,,Karl Leonhard Reinhold:,/wiki/John_Spencer_(priest),,,AD 1630-01-01 00:00:00
21,Gayle Rubin,,,Judith Butler:,/wiki/Gayle_Rubin,33.9169,-80.8964,AD 1949-01-01 00:00:00
22,Wolfhart Pannenberg, (1928–2014),Karl Barth:Edmund Schlink:G. W. F. Hegel:Hans von Campenhausen:Karl Löwith:Gerhard von Rad:,Carl Braaten:Roger Olson:Ted Peters:Robert Jenson:Jon Sobrino:,/wiki/Wolfhart_Pannenberg,53.4325,14.54806,AD 1928-10-02 00:00:00
23,Antonio Negri, (born 1933),Carl Schmitt:Mario Tronti:György Lukács:Félix Guattari:Michel Foucault:Baruch Spinoza:Augustine of Hippo:Karl Marx:Jacques Camatte:Jean Baudrillard:Niccolò Machiavelli:Galvano Della Volpe:Antonio Gramsci:Thomas Hobbes:Henri Lefebvre:Gilles Deleuze:Louis Althusser:G. W. F. Hegel:Raya Dunayevskaya:,Tiqqun:Hugo Chávez:Leopoldina Fortunati:Michael Hardt:Richard J. F. Day:,/wiki/Antonio_Negri,45.417,11.867,AD 1933-08-01 00:00:00
24,Thomas White,,,Thomas Hobbes:,/wiki/Thomas_White_(scholar),FILL,FILL,FILL
25,Joseph de Maistre, (1753–1821),Saint-Martin:Malebranche:Socrates:Voltaire:Hume:Rousseau:Augustine:Aristotle:More:Plutarch:Origen:Erasmus:Descartes:Bible:Plato:Montesquieu:Church Fathers:Aquinas:Vico:Bonald:Fénelon:Gibbon:Burke:Tertullian:Bossuet:,Walsh:Lewis:Yockey:Donoso:Chesterton:Saint-Bonnet:Schmitt:Maurras:Cioran:Benson:Boutang:Rosmini:Girard:MacDonald:Baudelaire:von Haller:Ljotić:Veuillot:Kirk:Buckley:Evola:Newman:Barbey:Belloc:Lévi:Bonald:Guénon:Bernanos:Carroll:Bloy:Saint-Simon:Comte:Tolkien:,/wiki/Joseph_de_Maistre,45.57,5.9118,AD 1753-04-01 00:00:00
26,Giovanni Pico della Mirandola, (1463–1494),Aristotle:Nicholas of Cusa:Plato:Pseudo-Dionysius:Chaldean Oracles:Neoplatonism:Marsilio Ficino:Kabbalah:,Sir Thomas More:Erasmus:John Colet:Thomas Cajetan:,/wiki/Giovanni_Pico_della_Mirandola,44.88667,11.06667,AD 1463-02-24 00:00:00
27,David Papineau, (born 1947),Ian Hacking:,Stathis Psillos:,/wiki/David_Papineau,45.81667,9.08333,AD 0073-01-01 00:00:00
28,Donald Davidson (philosopher), (1917–2003),Feigl:Russell:Wittgenstein:Quine:Goodman:Kant:Frege:Tarski:,Colin McGinn:Michael Dummett:Robert Brandom:Mark Bevir:Tyler Burge:Ernest Lepore:Kirk Ludwig:Jeff Malpas:John McDowell:Richard Rorty:,/wiki/Donald_Davidson_(philosopher),42.10139,-72.59028,AD 1917-03-06 00:00:00
29,Avicenna,"), (980–1037)",Aristotle:Galen:Al-Biruni:Abul Hasan Hankari:Neoplatonism:al-Masihi:al-Farabi:Rhazes:Hippocrates:,Ibn Rushd:Omar Khayyám:Shahab al-Din Suhrawardi:Al-Biruni:Albertus Magnus:Tusi:Duns Scotus:Aquinas:Abu 'Ubayd al-Juzjani:Enlightenment philosophers:Hossein Nasr:René Descartes:Ibn Tufail:William of Ockham:Ibn al-Nafis:Maimonides:,/wiki/Avicenna,42.0,63.0,AD 0980-01-01 00:00:00
30,Marcus George Singer,,,Claudia Card:,/wiki/Marcus_Ge,FILL,FILL,FILL
31,Reclus,,,Peter Kropotkin:,/wiki/%C3%89lis%C3%A9e_Reclus,44.84,0.22,AD 1830-03-15 00:00:00
32,Riezler,,,Leo Strauss:,/wiki/Kurt_Riezler,48.133,11.567,AD 1882-02-11 00:00:00
33,Monica Furlong,,,Alan Watts:,/wiki/Monica_Furlong,51.5878,-0.3086,AD 1930-01-17 00:00:00
34,Giles of Rome, (c. 1243–1316),Pseudo-Dionysius the Areopagite:Aristotle:Proclus:Averroes:Anselm:Thomas Aquinas:Avicenna:Augustine:,Thomas of Strasburg:James of Viterbo:,/wiki/Giles_of_Rome,41.883,12.5,AD 1243-11-01 00:00:00
35,Danilo I,,,Petar II Petrović-Njegoš:,"/wiki/Danilo_I,_Metropolitan_of_Cetinje",42.4331,18.8283,FILL
36,Karl Jaspers, (1883–1969),Immanuel Kant:Nicolaus Cusanus:Max Weber:Søren Kierkegaard:Georg Wilhelm Friedrich Hegel:Martin Heidegger:Spinoza:Friedrich Nietzsche:Meister Eckhart:,William A. Earle:Paul Ricœur:Heinrich Blücher:Hans-Georg Gadamer:Hannah Arendt:,/wiki/Karl_Jaspers,53.14389,8.21389,AD 1883-02-23 00:00:00
37,Friedrich Engels, (1820–1895),Hegel:Fourier:Marx:Hess:Feuerbach:Heraclitus:Morgan:Goethe:Ricardo:Smith:Rousseau:Stirner:,List of Marxists:,/wiki/Friedrich_Engels,51.267,7.2,AD 1820-11-28 00:00:00
38,Heiberg,,,Søren Kierkegaard:,/wiki/Johan_Ludvig_Heiberg_(poet),FILL,FILL,FILL
