name,birth,incoming_links,outgoing_links,page,latitude,longitude
Tadeusz Kotarbiński, (1886–1981),Stanisław Leśniewski:Kazimierz Twardowski:,pl:Kazimierz Pasenkiewicz:Henryk Greniewski:,/wiki/Tadeusz_Kotarbi%C5%84ski,FILL,FILL
Charles Dunoyer,,,"Claude Henri de Rouvroy, Comte de Saint-Simon:",/wiki/Charles_Dunoyer,FILL,FILL
Adurbad-e Mahrspandan,,,Ibn Miskawayh:,/wiki/Adurbad-i_Mahraspand,FILL,FILL
Daniel Dennett, (born 1942),Charles Darwin:Ludwig Wittgenstein:Wilfrid Sellars:W. V. O. Quine:Richard Dawkins:Gilbert Ryle:David Hume:,Sam Harris:Douglas Hofstadter:Geoffrey Miller:Richard Dawkins:Keith Frankish:Peter Carruthers:,/wiki/Daniel_Dennett,FILL,FILL
Lucien Goldmann, (1913–1970),Max Adler:Jean Piaget:Karl Marx:György Lukács:,Julia Kristeva:,/wiki/Lucien_Goldmann,FILL,FILL
Renan,,,Friedrich Nietzsche:,/wiki/Ernest_Renan,FILL,FILL
Ibn Arabi, (1164–1240),Ibn Masarra:Ibn al-Arif:Ibn Barrajan:Ibn Qasi:Hadith:Qur'an:al-Tamimi:Abu Madyan:,Jami:Yahya Efendi:Shah Waliullah:Abd al-Ghani:Sidi Bou Said:'Iraqi:al-Fanārī:Ibn Ajiba:Shabestari:Ahmed Mohammed al-Maqqari:Ni'matullah:Valsan:Nurbakhsh:Naquib al-Attas:al-Sha'rani:Ismail Hakki Bursevi:Schuon:al-Suyuti:Nasr:Qayṣarī:Fairuzabadi:Nursî:Hamzah Fansuri:Amuli:al-Shushtari:Guénon:al-Jīlī:Qunawi:Abdelkader:Mulla Sadra:Hamadani:Yusuf an-Nabhani:Ibn al-Farid:al-Alawi:Bitlisi:Corbin:Mahmoud:,/wiki/Ibn_Arabi,FILL,FILL
Maurice Merleau-Ponty, (1908–1961),Marcel:Brunschvicg:Uexküll:Malebranche:Chardin:Driesch:Schelling:Husserl:Köhler:Proust:Kojève:Kant:Descartes:Tinbergen:Fink:Lacan:Bergson:Mounier:Saussure:Whitehead:Darwin:Heraclitus:Koffka:Sartre:Beauvoir:Bachelard:Freud:Plotinus:Schilder:Coghill:Nietzsche:Hegel:Lévi-Strauss:Marx:Klein:Gesell:Scheler:Heidegger:Weber:Piaget:,Varela:Zahavi:Diprose:Harman:Lefort:Young:Ricoeur:Schillebeeckx:Lawlor:Simondon:Abram:Crowther:Gallagher:Giorgi:McClamrock:Bourdieu:Vesely:Hillman:Dreyfus:Henry:El-Bizri:Irigaray:Lacan:Butler:Polanyi:Virilio:Thảo:Thompson:Danto:Sartre:Ihde:Foucault:Manha:Guenther:Deleuze:Edie:Ahmed:Johnson:Kompridis:Clark:Barbaras:Castoriadis:Laplanche:,/wiki/Maurice_Merleau-Ponty,FILL,FILL
L. Susan Stebbing,,,Max Black:,/wiki/Susan_Stebbing,FILL,FILL
Ibn Sabin, (1217–1268),Ibn Masarra:Ibn Barrajan:Avempace:Ibn Qasi:'Ilm al-Huruf:Hadith:Averroes:Ibn Tufail:al-Hallaj:al-Farabi:Qur'an:Avicenna:Brethren of Purity:,Ramon Llull:al-Kashani al-Fargani:Afif al-Din Sulayman al Tilimsani:al-Shushtari:Badr al-Din Hasan Ibn Hud:,/wiki/Ibn_Sabin,FILL,FILL
